## Torsion are defined with the following atomIDs:
# dihed1: ai= 1637 aj= 1639 ak= 1638 al= 1633
# dihed2: ai= 1639 aj= 1638 ak= 1633 al= 1634
# Frame#   dihed1   dihed2
439  -58.107  175.643
440  -55.515  171.017
441  -71.671 -154.420
442  -66.027 -170.731
443  -64.464 -178.212
444  -56.740  178.292
445  -35.552  178.860
446  -55.389 -172.675
447  -61.630 -164.474
448  -67.647 -172.713
449  -55.173 -155.015
450  -72.251 -163.568
451  -54.398  173.273
452  -72.986 -167.482
453  -66.162 -168.181
454  -70.047  173.188
455  -71.125 -158.954
456  -56.784 -168.902
457  -64.932 -175.759
458  -64.558 -179.854
459  -53.013 -173.641
460  -54.054  173.312
461  -63.078 -165.236
462  -59.610 -170.557
463  -76.247 -162.506
464  -73.628 -179.857
465  -68.035  168.084
466  -63.743  176.490
467  -79.295 -166.396
468  -67.035 -172.517
469  -61.336 -171.893
470  -70.191 -177.750
471  -76.155 -169.791
472  -79.525 -167.879
473  -84.822 -178.368
474  -67.522 -174.161
475  -66.166  171.253
476  -72.534  177.063
477  -62.826 -161.909
478  -65.501  179.572
479  -66.776  178.551
480  -59.944  175.837
481  -66.382 -168.732
482  -53.906 -165.550
483  -56.300 -178.509
484  -73.839  171.065
485  -49.547 -166.428
486  -60.428 -172.453
487  -64.650 -153.828
488  -74.881  178.957
489  -68.728 -169.134
490  -69.194  162.062
491  -81.566  177.872
492  -52.587  167.454
493  -74.781  177.481
494  -77.611  172.869
495  -65.968 -167.605
496  -42.285 -176.809
497  -52.322 -177.496
498  -48.458 -179.992
499  -64.040 -164.769
500  -62.715  150.461
501  -75.061  168.653
502  -72.666 -175.610
503  -58.865 -177.376
504  -58.420  168.124
505  -68.748  167.644
506  -72.316 -166.807
507  -65.625  177.171
508  -74.881 -162.305
509  -60.540 -175.943
510  -61.142  169.908
511  -66.547  172.935
512  -68.678  169.336
513  -70.084 -175.393
514  -56.444  168.429
515  -62.774  178.820
516  -70.425 -179.868
517  -59.372 -173.956
518  -69.906 -177.629
519  -59.442  177.713
520  -70.770 -178.654
521  -80.753  174.947
522  -65.018  173.616
523  -61.740  175.711
524  -56.871 -164.302
525  -64.390  163.271
526  -76.829  140.351
527  -68.936 -179.406
528  -60.971  176.452
529  -52.948 -153.056
530  -53.506 -159.961
531  -58.429  173.554
532  -64.300 -173.042
533  -71.447  177.724
534  -65.639  167.585
535  -57.894  178.823
536  -61.910  170.087
537  -66.686  154.429
538  -68.784  147.905
539  -60.646  179.442
540  -83.350 -179.278
541  -71.706 -173.383
542  -62.366 -179.465
543  -64.041 -172.616
544  -57.155 -159.877
545  -58.004 -171.138
546  -62.327  174.061
547  -75.676  157.255
548  -77.601  169.791
549  -72.938 -165.509
550  -62.288 -174.492
551  -63.321 -179.035
552  -67.085  178.649
553  -72.012 -173.234
554  -70.491 -169.190
555  -68.907 -159.610
556  -68.483 -172.340
557  -68.106 -175.391
558  -62.909  176.269
559  -63.861 -171.422
560  -67.141 -167.955
561  -74.668 -178.857
562  -43.962 -173.161
563  -63.751 -175.570
564  -56.107 -167.544
565  -63.222 -165.758
566  -61.870 -166.681
567  -56.465 -165.850
568  -53.995 -165.835
569  -77.244  172.143
570  -69.987  178.383
571  -57.752  177.739
572  -59.385 -175.625
573  -76.044  175.739
574  -60.516  177.352
575  -72.250 -165.318
576  -51.423  165.792
577  -73.260 -174.183
578  -73.280  179.254
579  -64.360 -172.607
580  -75.030  173.163
581  -48.326 -161.110
582  -58.113  173.196
583  -65.537 -167.888
584  -58.184 -164.231
585  -62.366  158.938
586  -60.567 -176.923
587  -67.376 -170.575
588  -69.530  174.709
589  -64.653  175.211
590  -65.145 -174.956
591  -56.518 -166.752
592  -60.606  161.113
593  -58.071  168.669
594  -60.697  177.749
595  -66.079  179.663
596  -65.256  177.313
