  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      168        0.608        1.776            1      118.772      117.010      177.868
      169        0.694        1.757            1      117.600       93.673      176.071
      170        0.696        1.787            0      118.952      115.802      181.943
      171        0.727        1.784            0      119.155      123.689      178.864
      172        0.703        1.773            0      117.924      117.044      175.825
      173        0.706        1.743            0      117.518      113.468      173.345
      174        0.705        1.791            1      118.910      113.700      179.333
      175        0.691        1.762            0      117.705      117.536      175.796
      176        0.631        1.768            0      118.475      120.649      175.045
      177        0.688        1.746            0      117.654      116.041      175.842
      178        0.726        1.766            0      118.627      106.020      176.320
      179        0.682        1.771            0      118.466      126.357      175.533
      180        0.682        1.775            0      118.507      116.829      177.587
      181        0.585        1.799            0      119.407      118.782      179.302
      182        0.635        1.770            0      118.632      115.162      176.260
      183        0.640        1.753            0      117.673      126.357      174.950
      184        0.691        1.744            0      117.719      117.772      173.202
      185        0.732        1.776            1      119.267      128.422      177.440
      186        0.640        1.757            1      117.425      129.255      178.008
      187        0.709        1.761            1      118.287      112.527      174.709
      188        0.638        1.738            1      117.586      130.268      173.944
      189        0.667        1.792            1      119.740      127.047      180.647
      190        0.633        1.751            0      118.247      109.775      177.400
      191        0.660        1.758            0      117.936      114.814      177.376
      192        0.654        1.762            0      117.964      129.954      176.040
      193        0.643        1.776            0      118.295      113.917      179.467
      194        0.696        1.749            0      117.271      115.973      175.480
      195        0.680        1.781            0      119.595      127.532      179.590
      196        0.707        1.712            0      115.906      112.213      173.845
      197        0.596        1.786            1      119.334      128.432      176.017
      198        0.671        1.753            1      118.365      138.240      176.269
      199        0.695        1.781            0      118.580      131.470      182.041
      200        0.702        1.753            1      117.490      141.030      179.373
      201        0.681        1.771            0      118.218      129.627      178.363
      202        0.696        1.764            1      118.172      169.184      178.051
      203        0.638        1.764            1      119.105      176.836      175.510
      204        0.702        1.752            0      118.048      201.037      176.318
      205        0.568        1.792            1      119.347      193.414      179.454
      206        0.612        1.742            1      118.208      202.825      172.607
      207        0.704        1.778            1      119.408      184.374      178.181
      208        0.582        1.811            0      119.719      176.639      181.656
      209        0.666        1.774            1      119.299      196.853      178.403
      210        0.681        1.774            1      119.004      190.421      175.942
      211        0.687        1.739            1      117.108      149.113      175.692
      212        0.716        1.761            1      118.055      159.673      176.187
      213        0.552        1.784            0      119.123      158.855      179.511
      214        0.676        1.778            1      119.366      171.929      177.766
